"","vtitle","vpoint","vreview"
"387","세자매","1","너무 별론데...  봉준호..  설국이나 기생충같은 억지로 교훈 줄려는 영화 그만 만들고.. 살인의 추억 같은 영화를 만들어라.."
"388","해리 포터와 마법사의 돌","8","영화 좋았습니다 함께 힘내서 살아가는모습이 위로가 됐네요"
"389","검객","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"390","극장판 귀멸의 칼날: 무한열차편","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"391","루킹 글라스","9","영화 도입부부터 나오는 OST 영화에 빠져든다. 척박한 땅을 개척해 나가는 모습~ 우리민족이라는게 자랑스럽다."
"392","극장판 귀멸의 칼날: 무한열차편","6","원빈아저씨가 지켜주어 잘자란 김새론이 마동석아저씨 만나는 영화"
"393","클로젯","10","이 영화 안보면 인생의 절반은 후회한다."
"394","수상한 가족","9","앞으로 평론가 평점은 거르고 영화 봐야겠다."
"395","톰과 제리","10","난 이런거 살면서 남겨 본적이 없다 내 인생영화를 봤을때도 이런 기분으로 이렇게 리뷰를 달지 못했다 영화관에 개봉때 못 봤다는게 이렇게 죄송스럽고 한스러운지 모르겠다 영화 반은 울어분거 같다 상영예고를 봤을때는 몰랐다 지금 현재 넷플릭스에 스트리밍 중이다 한국 사람이라면 꼭 보고 다른 사람의 빡침과 함께 참교육 시전을 위한 다짐을 하자"
"396","극장판 귀멸의 칼날: 무한열차편","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"397","세자매","6","옛날 영화 고전 명작은 처음 봤는데 보면서 참 신기했다 ㅎㅎㅎ 또 보면 다른 감정이려나 지금 막 보고나서는 6점"
"398","해리 포터와 마법사의 돌","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"399","검객","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"400","극장판 귀멸의 칼날: 무한열차편","8",""
"401","루킹 글라스","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"402","극장판 귀멸의 칼날: 무한열차편","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"403","클로젯","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"404","수상한 가족","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"405","톰과 제리","6","관객들에게 장난스럽게 로맨스."
"406","극장판 귀멸의 칼날: 무한열차편","10","아 너무 좋다... 프랑스 영화는 영상미만 예쁘다고 생각했었는데.. 잔잔한 흐름도 마음에 들었고 나오는 비지엠들마다 다 좋았음.. 영화 크레딧이 올라가고 비지엠 듣고 싶어서 끝까지 본 영화"
"407","세자매","9","세상안 아무리 지옥같은 인생이라도 사랑의  구원자는 있었다. 사랑이란...장면, 장면중 보는내내 가슴이 아파 결국 눈물을 남겼다.연출, 연기, ost 다 좋음!"
"408","해리 포터와 마법사의 돌","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"409","검객","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"410","극장판 귀멸의 칼날: 무한열차편","10","휴... 빨리 다음편 마렵다구요!! 넷플릭스에서 무한열차 전까지 다 나와서 이틀밤 세서 보고 얼릉 영화보구 뒤에 이야기는 만화로 다 봤습니당  스토리는 물론 너무 좋지만 영상미가 완전 눈이 즐거우요. 너무 재밌었어요"
"411","루킹 글라스","10","그린북 열번 정도 봤습니다. 다들 꼭 보시길 바랍니다"
"412","극장판 귀멸의 칼날: 무한열차편","10","내 인생 최고의 전쟁영화다.꼭 보시길~~~"
"413","클로젯","10","잔잔한 감동이 가슴을 때리네요"
"414","수상한 가족","10","잔잔한 감동이 가슴을 때리네요"
"415","톰과 제리","10","스티븐연 한국어 진짜 연습 했나보다ㅋㅋㅋㅋ 한국어 발음이 안어색해"
"416","극장판 귀멸의 칼날: 무한열차편","10","친구손에 붙들려서 갔는데 울면서 나옴..."
"417","세자매","2","다른 행성까지 가게하려고 고르고 고른 엘리트들일텐데 뭔 길거리 시정잡배데려놓은것마냥 전문성들은 없고 멍청하게 행동하는 뻔한 클리셰의 반복 배안에있는 외계인 꺼내려 마취하고 수술하는데수술이 끝나자마자 바로 달려서 도망치는게 영화라지만 너무 개연성이없다"
"418","해리 포터와 마법사의 돌","10",""
"419","검객","10","하....  이것이 제 심사평입니다. 이런 게 바로 영화 아니겠습니다. 오늘 하루 하.. 할듯.."
"420","극장판 귀멸의 칼날: 무한열차편","10","하....  이것이 제 심사평입니다. 이런 게 바로 영화 아니겠습니다. 오늘 하루 하.. 할듯.."
"421","루킹 글라스","10","실제 불륜 떠나서 영화 자체는 참 지루하지 않게 잘 만들었네"
"422","극장판 귀멸의 칼날: 무한열차편","8","지금보니 현재가 더발달됐네ㅋㅋ장기만 복제하자"
"423","클로젯","4","굳이 끼워넣은 동성애코드는  꼭 이영화 내용전개에 필요했나  싶음그것도   쥐같이 생긴  남자초딩 같은  여자애를  쿨하다면서  반하는게  너무 어이없었음200석  영화관에서   나포함  두명이서 봤는데  십오분쯤 지나니까 다른분이 나가서  나혼자보는데  어두운데 나혼자있으니 좀 무서웠음"
"424","수상한 가족","10","아말해뭐해가나다라마바"
"425","톰과 제리","10","너무나 복합적인 영화인거같다."
"426","극장판 귀멸의 칼날: 무한열차편","10","윤여정 배우님 연기 정말 최고입니다."
"427","세자매","10","이제야 구매해서 봤는데 영화관에서 못본게 너무너무 안타깝네요... 영화관 스크린에 사운드로 봤으면 지렸을듯..ㅠ"
"428","해리 포터와 마법사의 돌","9","내밀하고 진솔한 경험이 우리 삶의 놀라운 찬가가 되다."
"429","검객","10","제 인생 두번째 독립영화에요. 강추에요. 지루하지 않게 잘 봤어요"
"430","극장판 귀멸의 칼날: 무한열차편","10","미국은 애초에 태생적으로 “이민자”의 나라다.. 아메리칸 드림을 이뤄내고자 하는 다양한 인종의 사람들이, 저마다의 사연을 가지고, 그들의 장점들을 최대한 되살려 직업에 종사했고, 결과적으로 세계 최강국의 원동력의 중요한 한 부분이 되었다. 그 중 분명 이민자의 서러움을 이겨낸 가족의 힘도 포함돼 있다..."
"431","루킹 글라스","10","이거...게임 원작이예요...  스토리가 이상하네?! 싶었는데 게임 원작이고 몬스터도 게임에 나오는것들.... 영화끝나고 찾아보니 이해가 가더라구요. 아무런 배경지식없이 보신분들 읭(?) 할 수 있지만, 눈요깃거리로는 나쁘지않아요. 평점테러가 많아서 10점 줍니다. 유플티비로 결제하고 봤어요~"
"432","극장판 귀멸의 칼날: 무한열차편","8","원작을 뛰어넘는 작화, 실사 영화와 같은 영상미가 끝내줬습니다. 칼이라는 다른 문화에서는 이질적인 요소를 따뜻한 영상과 스토리로 풀어낸 수작이라고 생각합니다."
"433","클로젯","10","아무것도 모르는 상태에서 봤는데도 몰입감 있고 재밌었습니다!"
"434","수상한 가족","1","처음에 주인공 극혐이네 망원경으로 여자 관찰 하는거 토쏠리네 그 얼굴로"
"435","톰과 제리","7","아메리칸쉐프 보세요~"
"436","극장판 귀멸의 칼날: 무한열차편","8","사실 이런영화... 많아져야합니다! 감독의 정신세계가 궁금해지는 영화"
"437","세자매","1","cg만 신경썼나봄 외국에선 어떻게 볼지 창피하다"
"438","해리 포터와 마법사의 돌","9","한국배우만 나왔으면 어색했겠지만 이런 배경에 외국인들도 많이 나오고 그 속에 한국인이 잘 스며들어 자연스러워 보였음. CG는 국내 영화중 역대급이었고. 스토리는 평타. 송중기 연기실력이 더 는거같음. 연기력도 다들 굳. 스토리는 평범하긴 했지만 송중기가 회상씬 연기가 좋아서 나름 감동적이었음."
"439","검객","5","2021년에 일본이 세계패권을 잡는걸 당연하게 생각했던 시대..1995년!"
"440","극장판 귀멸의 칼날: 무한열차편","10","누군가에겐 처음이 가슴 아프고 끝은 설렌다"
"441","루킹 글라스","3","아니 ㅜㅜ CG, 연출 좋은데 원작을 살렸어야지 시공간을 왜 이동한거냐? 아 왜!"
"442","극장판 귀멸의 칼날: 무한열차편","9","감동 순간도 아니고 반전부분(우주로 도망치는신)에서 순간 눈물이 났다 왜눈물 났는지도 모르겠다 그이후 계속 눈물이 난다 감동에 희열에 그리고우리나라 영화발전에 강력추천하고 싶다개인적으로 한국영화를 매우싫어한다 재미없어서물론 좋아하는 영화도 몇개 있다 신세계, 7번방의선물,등등 한손으로 꼽을 정도다 그런데 이영화 정말개쩐다 안봤다면 후회했을정도다개인적으로 아쉬운건 태호의활약 너무 없다는거 평이 높다는거 알지만 나도 애아빠라서 그런것 같다"
"443","클로젯","10","배우분들의 훌륭한 연기가 스토리의 공감을 더욱 이끌어내주시네요! 재밌게 잘 봤습니다"
"444","수상한 가족","10","가족의 힘이 이토록 대단한것이었다는걸 느끼게 해주는 영화 였다"
"445","톰과 제리","6","서론이 너무 길어 결말이 너무 짧아보인다.런닝타임을 80분으로 했음 더 좋았을듯.."
"446","극장판 귀멸의 칼날: 무한열차편","10","뭐 그냥 만점 영화임.감동"
"447","세자매","6","뭔 열쇠하나로 문을 다 뚫고다니노 ㅋㅋ"
"448","해리 포터와 마법사의 돌","10","또 보고 싶음...라프텔이든 어디든 나오면 소장할거임 액션신 연출 지리고 ost도 너무 좋음"
"449","검객","10","영화를 놓쳐버렸다 까비"
"450","극장판 귀멸의 칼날: 무한열차편","8",""
"451","루킹 글라스","10","우리 주적은 북괴"
"452","극장판 귀멸의 칼날: 무한열차편","2","21년도 영화라는게 안믿길정도너무 재미없다.액션은 괜찮음."
"453","클로젯","10","반일은 정신병"
"454","수상한 가족","10",""
"455","톰과 제리","10",""
"456","극장판 귀멸의 칼날: 무한열차편","2","진짜 드럽게 재미없습니다.웹툰으로 그려도 이거보단 재밌겠다"
"457","세자매","9","현실을 현실적으로 만든 예술작품"
"458","해리 포터와 마법사의 돌","10","영화관에서 보고 너무좋아서  나의 최애 영화가 되었지요ㅋ 요즘은  넷플에서 한달에 한번는 보고있어요 이승기님 사극하시면 잘어울리듯함"
"459","검객","8","재미있어요 꿀잼뀰잼 대박 꿀잼"
"460","극장판 귀멸의 칼날: 무한열차편","10","대박ㅠㅠ넘 재밌어요♥♥그리고 강동원님 잘생기셨네요~"
"461","루킹 글라스","9","예전의 톰과제리 모습을 그대로 볼 수 있습니다.즐겁게 보았습니다!"
"462","극장판 귀멸의 칼날: 무한열차편","10","영화관 상영 끝나기전에 꼭 보세요!"
"463","클로젯","1","희대의 거품 연예인 이승기. 연기도 못해 노래도 어정쩡."
"464","수상한 가족","10","최근에 본 애니중 최곱니다하나도 부족함없이 절 채워줬네요시즌2 유곽편 TV방송 눈빠지게 기다리는중입니다무한열차 보시기전 시즌1 애니 꼭 보시고 관람하시면 제가 느낀 느낌 그대로 받으실거라고 생각합니다"
"465","톰과 제리","5","헉 오덕들 아직도 많네 ㅋㅋㅋㅋ 반일불매운동도 이제 거의 끝나가는듯 하구만"
"466","극장판 귀멸의 칼날: 무한열차편","2","이걸봐? 대단하네 보는사람들 무슨 생각으로 보는걸까나?"
"467","세자매","9","문소리 아줌마 연기 현실성 오짐ㅋㅋ"
"468","해리 포터와 마법사의 돌","6","모르겠어요 도대체 무슨"
"469","검객","4","몇 번을 봐도 각본이 쓰레기라는 점만 확인한다. 애초에 마커스라는 캐릭터는 없어야 했고, 존 코너와 카일 리스 위주로 암울한 미래를 충실히 그려냈어도 충분했을 텐데. 시작 40분만에 등장하는 거대 로봇과 오토바이 로봇 장면이 전부. 다시는 안보기 위한 평점을 남긴다"
"470","극장판 귀멸의 칼날: 무한열차편","5","좀 더 짜임새있었으면 괜찮은 스릴러가 되었을텐대. 아쉽"
"471","루킹 글라스","10","렌고쿠 돌려주세요...."
"472","극장판 귀멸의 칼날: 무한열차편","10","배경이 추억을 돋게 하는 한국명작.  차분하게  당시의  버스.택시.서민들의 집. 다방. 술집. 나이트크럽 등등  당시의 여러 부분을 보면서  의외로 재미가 있는 작품."
"473","클로젯","8","코로나도 혹시 제약사들의 빅플랜?"
"474","수상한 가족","10","저예산 독립영화를 cgv에서 볼수있어서 좋았고 낯선얼굴의 연기자들의 연기가 신선했고 연출 영상미 좋았고 박하선씨 자전거타는모습이 예뻤습니다"
"475","톰과 제리","1","보면서 영화 불가사리+에이리언2020+레인오브파이어 생각났음ㅋ 생김새만 다르고 특징 그대로 따온 몬스터들ㅋㅋ 개인적으로 여기서 밀라요보비치 연기도 별로... 그냥 영화 전체적으로 별로임ㅋ 메가로돈 본 뒤로 중국자본영화 믿고 거른다 였는데 지인때문에 뭔지도 모르고 봤다가....ㅋ 심지어 쿠키영상도 있음ㅋ 2탄 예고인듯?ㄷㄷㄷ"
"476","극장판 귀멸의 칼날: 무한열차편","10","진짜 세상 개재밌음 이  영화를 보면 다들 김영광한테 빠짐 진짜 김영광은 꾸미는거보다 후질근 한게 더 잘생긴거같다 진짜 사랑스러움 ㅠㅠ"
"477","세자매","2","아이와영화는거의다봤지만이렇게재미없고지루한영화는처음이였어요..영화좋아하는우리아이도 계속재미없다고지루하다해서 중간까지보다가나갔네요다른 애니메이션은 아이들뿐아니라제가봐도집중되고 재밌던데이건 영.. 실망스럽네요"
"478","해리 포터와 마법사의 돌","10","진짜 재밌다 진짜 내인생 영화이다"
"479","검객","10","디즈니의 화려한 애니메이션과 별개로, 내용만 봤을 때, 너무 이상적이어서 괴리감이 들었다. 그래서 평점대비 그저 그런 영화라고 생각하고 나왔다. 근데 영화를 보고 나서 바람을 맞을 때, 햇살을 맞을 때, 바람이랑 햇살이 시원하고 따뜻하게 ""느껴진다"". 잠시 멈춰서 햇살과 바람을 느끼게 된다. 세상을 이렇게 순수하게 살 수 있다면 얼마나 좋을까."
"480","극장판 귀멸의 칼날: 무한열차편","6","티비광고보고 7년만에 보러간 영화라 너무 기대가 컸나봅니다. 광고에서는 엄청 긴장되고 스펙타클 해보였으나 영화보는 내내 언제쯤 그런장면이 나오는지 기다리다  영화가 끝나네요요즘 영화들이 이제 안방용 영화들인가 봅니다.티비에 올라오면 봐도 될뻔한 영화였어요 메인주제 자체는 참신했으나 스토리 연개성이 떨어지는 편이었어요기억에 남는게 별로없는 영화였습니다."
"481","루킹 글라스","10","마지막 10분 좀 넘는 전투씬은 역대 본 애니 중 최고였습니다."
"482","극장판 귀멸의 칼날: 무한열차편","10","돈보다 사람을 중시할 때 돈은 그냥 따라온다."
"483","클로젯","10","모든게 완벽했던 영화다 .. 신카이마코토는 단언컨대 천재이다/.. 모든 장면과 인물 하나하나가 사회에서 볼수있는 공감적인요소들이 많아서 더 몰입할수있었다 ..특히 날씨의아이 ost는 정말 좋다.. 그랜드이스케이프틀때 온몸에 전율이 흐르면서 숨죽이면서 보았다  내마음속 영화 1위이다"
"484","수상한 가족","4","스토리가 너무 진부하다.."
"485","톰과 제리","10","액션신이 최고입니다 ㅎ헤"
"486","극장판 귀멸의 칼날: 무한열차편","1","2021년도에 이런 영화가 나올 수 있다니 그저 신기할 뿐... 아니 왜 평점 빵점이 없는 거야. 1점 주는 것도 아까워보긴 정말 처음이다. 에휴.. 정신차려라 진짜 이런 걸 영화라고 만들고 싶냐? 오글거리는 게 문제가 아니라 그냥 이런 건 스크린에 걸면 안되는 거야. 연기도 평가가 안 되는 영화야. 영화가 너무 구리고 구닥다리라 그냥 다 못 해보여서. 타겟으로 삼은 연령층이 영유아기 연령이라면 이해가 가능하긴 해."
"487","세자매","10","일단 보세요"
"488","해리 포터와 마법사의 돌","10","나중에 나에게 아이가 생긴다면, 꼭 같이 보고 싶은 영화"
"489","검객","10","넷플릭스에서 봤는데 영화관에서 안본게 후회될 정도로 너무 재밌게봤어요 아역들의 연기와 승리호의 주연들 케미가 장난 아니네요 연출력, 스토리 또한 탄탄해서 시간가는줄 몰랐어요 진짜ㅠㅠ꽃님이 순이 꽃길만 걸었으면♡"
"490","극장판 귀멸의 칼날: 무한열차편","10","미쳤어요 귀칼애니부터 진짜영상미오짐 제발빨리2기방영부탁드립니다 현기증나요"
"491","루킹 글라스","10","배우분들 연기를 잘해서 양화도 재밌습니다"
"492","극장판 귀멸의 칼날: 무한열차편","1","뱅가드 때문에 컴터 존나 끊김 안티핵 프로그램이랍시고 컴퓨터 말아잡수실 일 있나"
"493","클로젯","6","여자가 숨어있는 가게에 타이밍 맞춰 풀려난 범인이 딱 찾아 들어간 것부터가 현실성 떨어짐.                                                         현실이 더 소설같을 때도 있으니 그럴 수도 있겠지만 그랬다면 그건 그 여자의 명이 원래 거기까지이니 차라리 처음에 욕조에서 살해된 것으로 시나리오를 쓰는게 더 리얼리티가 있었을듯.                                         경찰 수사도 납득이 안되는게 연쇄살인 용의자를 체포했으면 마지막 피해자로 추정되는 여자를 어디로 데려갔는지, 최근 어디에 은신하고 있었는지부터 알아내서              주거지 압색 영장 발급받아 여자의 생사, 범행 도구와 피해자 시신같은 물증 확보가 수사의 최우선일텐데 프로파일러 데려다가 한가하게 범행 동기나 캐고 앉았냐.               그리고 경찰서가 무슨 마을 회관인가. 일반인이 연쇄 살인 용의자를 찾아가서 막 뚜드려 패고 그러는 것도 어처구니 없고...        시나리오에 우연이 너무 많이 개입되고 허술한 부분이 많아 전반적으로 몰입도가 떨어짐. 그래서 6점"
"494","수상한 가족","2","돈있으면 그냥기부해라 이런쓰레기영화찍지말고  화난다"
"495","톰과 제리","6","청소년에게 별로 추천할 만하지 못함. 박진감이나 영상은 봐줄수 있다고 하나, 가족의 일도 외면하고 약물로 버텨가는 나이든 선수의 모습, 그리고 앤딩..쭈욱 그렇게 살겠다는 뜻?"
"496","극장판 귀멸의 칼날: 무한열차편","10","힐링 영화.  좋아요.  뭔가 위로가 됌"
"497","세자매","10",""
"498","해리 포터와 마법사의 돌","10",""
"499","검객","8","그냥 춤추고 노는 영화가 아니라서 다행이다."
"500","극장판 귀멸의 칼날: 무한열차편","10","IMF 하면 학교에서 배운 금모으기 운동이 가장 먼저 떠올랐었다. 뭔가 국민의 힘으로 나라의 위기를 극복했다라는 희망찬 느낌이들었는데 이 영화덕에 잘 부숴졌다. 지금 우리가 잘 극복해가고 있는지 의문을 던져준 영화였다."
"501","루킹 글라스","4","미기의 목소리가 영 매치가 안되는 느낌애니메이션의 미기 목소리는 정말 잘 어울렸는데...신이치의 오버스런 연기도 영 별로네요"
"502","극장판 귀멸의 칼날: 무한열차편","10","진짜 너무재밌음전설의 시작"
"503","클로젯","10",""
"504","수상한 가족","9","뻔한 스토리 였지만, 노래와 상황 때문에 몇장면은 계속 돌려봤어요 ㅠㅠ이 영화를 본 이후로, 자주 영화 OST를 찾아서 듣게되네요.전 너무 재미있었어요 ㅠㅠ"
"505","톰과 제리","7","찌라시 무섭다. 먹고 먹히는 먹이사슬처럼. 내가 살기 위한 위험한 소문, 찌라시가 결국 너를 죽인다."
"506","극장판 귀멸의 칼날: 무한열차편","2","돈이 너무아까움.. 남자가 갑자기 여자 예쁘다고 가족 버리고 모든거 다버리면서 여자 구하는 것도 뭔가 이상하고 여자는 또 끝까지 뽀뽀 한번해달라는걸 안해주더라 ㅋ"
"507","세자매","6","과한신파  에혜혀참내혀혀"
"508","해리 포터와 마법사의 돌","10","흔한소재도 어떻게 보여주게 되느냐에 따라 다릅니다"
"509","검객","10","지금 현재 절대 나올 수 없는 영화, 촬영기법, 배우."
"510","극장판 귀멸의 칼날: 무한열차편","10",""
"511","루킹 글라스","8","어린 자녀와 간단히 보기 좋은 영화입니다."
"512","극장판 귀멸의 칼날: 무한열차편","8","남편이 깔깔웃으며 보더니만 나와서는 지도 비밀요원이라고함 멋졌나봄"
"513","클로젯","8","슬픈현실이었다. 우리는 모두 기생충이었고 현실표현이 잘되었다."
"514","수상한 가족","8","이 영화는 평점이 지나치게 낮은듯. 쿵푸허슬 같은 코믹 판타지인데, SF 블록버스터 잣대를 들이댄건 아닌지. 물론 김용화 특유의 코믹신파가 스토리를 더 망치긴 했지만. 제발 신파 좀 버리길. 징징은 그만."
"515","톰과 제리","10","와 진짜 기대안하고 킬링타임용으로 틀어서 봤는데 너무 재밌네요ㅋㅋㅋ"
"516","극장판 귀멸의 칼날: 무한열차편","7","슬펏다. 지워지지 않는 사랑의 기억의 덧없음이여..."
"517","세자매","1","내용 개ㅎㅌㅊ 눈버림 그냥 안보는거 추천"
"518","해리 포터와 마법사의 돌","2","감성은 90년대 그대로. 하고있는 이야기도 그때 그대로. 디렉팅도 했던만큼만 했어도 봐줄만은 할텐데. 표현력은 수준이 퇴보한듯"
"519","검객","10","많은것을 깨닫게 해주는 영화입니다 사회적 비판 요소도 적절히 들어가있고 몰입도가 높아 재밌게 보았습니다."
"520","극장판 귀멸의 칼날: 무한열차편","10","보는 내내 다른 생각 안하게 해주는 기분좋은 영화였어요 감동과 의미를 전달하는 영화도 좋지만 이렇게 코믹하게 웃게해주는 영화도 너무 좋네요"
"521","루킹 글라스","1","수준낮은 짱kkae 국뽕영화"
"522","극장판 귀멸의 칼날: 무한열차편","1","발연기에 발음도 제대로 안되는 사람들을 데려다 그것도  배우라고..사실 감상포인트 없음..."
"523","클로젯","10",""
"524","수상한 가족","10","대빵 재밌음~♥ 짱짱짱"
"525","톰과 제리","10","이 모든걸 조경아작가의 자기자신 얘기를 다른이야기와 만든 작품이라면"
"526","극장판 귀멸의 칼날: 무한열차편","8","거의 한장소에서 찍은영화인데지루하지않게 잘풀었다이서진은 너무 쓰레기로 나오네 ㅋㅋ"
"527","세자매","7","딸과 함께 봤는데 아이들이 이해할 수 있는 수준은 아니어서다소 아쉬웠으나삶에 대한 물음표를 던지게 하는철학적인 문제를 재미있게 풀어낸 영화.어른에게 위로를 주는 영화."
"528","해리 포터와 마법사의 돌","10","공감되는것이 많았어요"
"529","검객","10","이건 진짜 끝까지봐야함 반전이있는 영화"
"530","극장판 귀멸의 칼날: 무한열차편","10","렌고쿠사마ㅠㅠ 별기대없이 봤는데 감동ㅠㅠ"
"531","루킹 글라스","6","음.... 방해포인트1. ost..  쓸데없이 거창하고 쓸데없이 쓸쓸해서 몰입도 떨어지게 만듦 개연성 없이 막 집어넣은 ost  2. 이진욱 연기력.. 뭔가 다른 배우분들과 섞이지가 않네요..원래 이런식의 영화는 스토리상 어디 하나라도 구멍이 생기기 마련.. 연기력 몰입도로 보는건데 그나마 몰입도는 떨어지려다 잡아주는 구간이 있었는데 위 두가지가 좀 망쳤네요갠적으론 1번이 더 망..."
"532","극장판 귀멸의 칼날: 무한열차편","8","코미디 아님, 네이버는 영화좀 보고 장르 선정해줄래?"
"533","클로젯","9","하도 욕 하길래 안 보다가 이제야 봤는데좋은 영화네요 재밌게 잘 받습니다"
"534","수상한 가족","10","아...진짜 띵작 ㅠㅠㅠ 렌고쿠 사랑해.."
"535","톰과 제리","10","덴젤워싱턴의 알코올중독 연기가 끝내준다. 개인적으로 로버트 저메키스 감독의 다른 영화들보다 훨씬 더 좋았다."
"536","극장판 귀멸의 칼날: 무한열차편","10","배경 ,영상미, 음악 , 배우들 연기 다 미쳤다 오랫만에 첫사랑 감정 느끼게 해 준 너무 아름다운 영화 , 인생영화 한편 저장"
"537","세자매","10","강아지는 사람보다 사람마음을 더 잘 아는...절대로 배신하지 않는 친구 입니다. 너무 재밌고 사랑스런 영화에요"
"538","해리 포터와 마법사의 돌","7","여주는 이뻤다"
"539","검객","1","감상포인트 없음은 왜 없는거죠? 너무 유치하고 재미없었습니다."
"540","극장판 귀멸의 칼날: 무한열차편","10","진짜 이영화가 현실이 될까봐 무섭다ㅠ"
"541","루킹 글라스","10","행복을 제외한 모든 감정들을 소름끼치게 느낄수 있었다."
"542","극장판 귀멸의 칼날: 무한열차편","8","씬스틸러 최병장 ㅋㅋ 정극 연기도 진짜 잘하네요"
"543","클로젯","7","그래서 호랑이보다 무서운 겨울손님은 뭐였을까. 글을 쓰는것을 그만둔 후 찾아갔던 햄버거가게 알바도 경쟁률이 셌고, 대리기사일을 하며 거쳐갔던 손님들도 결코 녹록치 않았다. 호랑이보다 무서웠던 것은 냉혹한 현실이었다. 여자친구의 집을 떠나 친구의 집에 머물 때도, 그 집을 떠나 유정의 집에 들어갔을 때도 차가운 현실을 마주했다. 어느날 밤엔 호랑이를 피해 도망쳤지만 그곳에서 또 다른 누군가의 현실을 보게되었다. 그리고 그녀를 구한 후에야 호랑이에게 쫓겼던 사실을 기억해낸다. 이제 그는 호랑이를 마주한다. 힘겨운 현실속에 호랑이 쯤은 너무나 사소하다. 펜과 노트를 사서 한 글자 한 글자 적어내려간다."
"544","수상한 가족","10","논스톱 감성 구리구리느낌나고 간만에 겁나웃었습니다 ㅋㅋㅋ"
"545","톰과 제리","10","크리스마스영화중에 가장 크리스마스를 잘 표현한 영화"
"546","극장판 귀멸의 칼날: 무한열차편","10","후회만 남는 인생에서 저의 잘못이나 이루지 못했던 것들에 대해 다시한번 되돌아보게 되는 영화였습니다"
"547","세자매","10","연인끼리는보지말길 ㅠ"
"548","해리 포터와 마법사의 돌","10","잼나다 재미있는데 ㅋㅋ"
"549","검객","10",""
"550","극장판 귀멸의 칼날: 무한열차편","2","빻빻이가 너무 이쁘게 나왔다 디아블로스 빼곤 현실고증 0%"
"551","루킹 글라스","8","가슴 뜨거운 사랑의 진심. 그의 사랑은 평생 가슴에 사무칠 사랑이었다. 동정이나 연민이라고 비판받기엔, 너무나도 고결했던 그들의 사랑. 비록 현실에 부딪혔다고는 하지만 그게 뭔 대수랴.  진짜 현실은 너무나도 가볍고 가벼운 마음들이 만나 가짜 형상들을 이루고, 걸핏하면 부숴지기 일수인데.조제에게는 세상을 깨고 나올 수 있는 용기이자 희망이, 영주에게는 죽도록 사무칠 진심이 담긴 사랑이 되어주었다. 세월의 고통을 뛰어넘고, 작은 세계를 깨뜨린.아프지만 고요하고, 잔잔했으며 고결했던 그들의 사랑. 잔잔한, 생각이 깊어지는 고요의 영화."
"552","극장판 귀멸의 칼날: 무한열차편","10",""
"553","클로젯","10",""
"554","수상한 가족","10","기대이상 상상이상, 언제나 앞으로가 중요한 거 아닌가"
"555","톰과 제리","8","캐릭터 하나하나가 살아있다 어느 하나 허투루 뭍히지 않는다 특히 김선영배우님 연기 ?♀?"
"556","극장판 귀멸의 칼날: 무한열차편","6",""
"557","세자매","10","감사하다는 말밖에는 떠오르지가 않네요..잊지 않겠습니다.존경합니다."
"558","해리 포터와 마법사의 돌","10",""
"559","검객","5","평점 졸라 높네 ㅋㅋㅋㅋ"
"560","극장판 귀멸의 칼날: 무한열차편","10","어쩌다 보게 됐는데.. 넘 웃겨요~~"
"561","루킹 글라스","10","감독이 만들어낸 주옥같은 대사들이 나를 뭉클하게만든다"
"562","극장판 귀멸의 칼날: 무한열차편","9","와 긴장감이랑 몰입감 최고감히 '라이언일병구하기'와 더불어내가 본 최고의 전쟁영화"
"563","클로젯","10","막판에 폭풍 즙 짜냈다...죽어서까지도 딸 사랑ㅠㅠ아빠엄마 몫까지 잘 살아야 돼, 로지ㅠㅠ"
"564","수상한 가족","10","한국 영화중 최고다"
"565","톰과 제리","5","이병헌이 백X산에 출연하는거나...매즈 미켈슨이 이 영화에 출연하는거나...도찐개찐(웃음)"
"566","극장판 귀멸의 칼날: 무한열차편","10","우리 이영화 안본걸로합니다."
"567","세자매","10","재밌따 꽃님이 너무 기엽다"
